kpi_name,period,value,delta,driver,status,scenario_id
total_demand_tons,2020-01-01 00:00:00,60747.17,0.0,SKU forecast,positive,base
recipe_time_utilization_pct,2020-01-01 00:00:00,63.6012,0.0,Time constraint,positive,base
capacity_violations_count,2020-01-01 00:00:00,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-01-01 00:00:00,908.0123,0.0,Wheat price,neutral,base
waste_rate_pct,2020-01-01 00:00:00,2.1191,0.0,Recipe mix,positive,base
vision_2030_index,2020-01-01 00:00:00,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-01-01 00:00:00,3654165.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-01-01 00:00:00,60747.17,0.0,Flour demand,neutral,base
total_recipe_hours,2020-01-01 00:00:00,1545.15,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-01-01 00:00:00,100.0,0.0,Model accuracy,positive,base
seasonality_index,2020-01-01 00:00:00,1.0216,0.0,Calendar,neutral,base
planned_recipe_hours,2020-01-01 00:00:00,1105.07,0.0,Schedule,neutral,base
available_mill_hours,2020-01-01 00:00:00,1737.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-01-01 00:00:00,632.43,0.0,Capacity balance,positive,base
avg_changeovers,2020-01-01 00:00:00,112.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-01-01 00:00:00,890.6192,0.0,Raw material,neutral,base
waste_impact_pct,2020-01-01 00:00:00,2.1191,0.0,Waste,positive,base
mill_utilization_pct,2020-01-01 00:00:00,63.6012,0.0,Utilization,positive,base
overload_hours,2020-01-01 00:00:00,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-01-01 00:00:00,190.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-01-01 00:00:00,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-01-01 00:00:00,31.8,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-01-01 00:00:00,60747.21,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-01-01 00:00:00,908.0123,0.0,Market,neutral,base
import_dependency_pct,2020-01-01 00:00:00,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-01-01 00:00:00,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2020-01-01 00:00:00,0.076,0.0,Quality,neutral,base
waste_rate_vs_target,2020-01-01 00:00:00,-0.38,0.0,Gap to target,positive,base
energy_per_ton,2020-01-01 00:00:00,70.9564,0.0,Efficiency,neutral,base
water_per_ton,2020-01-01 00:00:00,0.8013,0.0,Conservation,neutral,base
vision_2030_compliance,2020-01-01 00:00:00,85.5,0.0,Composite,positive,base
total_demand_tons,2020-02-01 00:00:00,58278.77,-4.0634,SKU forecast,negative,base
recipe_time_utilization_pct,2020-02-01 00:00:00,64.2532,0.652,Time constraint,positive,base
capacity_violations_count,2020-02-01 00:00:00,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-02-01 00:00:00,920.7607,12.7485,Wheat price,neutral,base
waste_rate_pct,2020-02-01 00:00:00,1.7833,-0.3358,Recipe mix,positive,base
vision_2030_index,2020-02-01 00:00:00,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-02-01 00:00:00,3521239.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-02-01 00:00:00,58278.77,0.0,Flour demand,neutral,base
total_recipe_hours,2020-02-01 00:00:00,1481.9,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-02-01 00:00:00,100.0,0.0,Model accuracy,positive,base
seasonality_index,2020-02-01 00:00:00,1.0562,0.0,Calendar,neutral,base
planned_recipe_hours,2020-02-01 00:00:00,1063.39,0.0,Schedule,neutral,base
available_mill_hours,2020-02-01 00:00:00,1655.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-02-01 00:00:00,591.61,0.0,Capacity balance,positive,base
avg_changeovers,2020-02-01 00:00:00,107.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-02-01 00:00:00,890.6059,0.0,Raw material,neutral,base
waste_impact_pct,2020-02-01 00:00:00,1.7833,0.0,Waste,positive,base
mill_utilization_pct,2020-02-01 00:00:00,64.2532,0.0,Utilization,positive,base
overload_hours,2020-02-01 00:00:00,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-02-01 00:00:00,184.0,0.0,Scheduling,neutral,base
