mill_id,date,recipe_id,planned_hours,actual_hours,status,changeover_hours,tons_produced
M1,2020-01-01,R2,8.4,8.63,completed,0.0,463.61
M1,2020-01-01,R1,5.94,5.87,completed,1.5,279.93
M1,2020-01-01,R3,3.66,3.62,completed,2.5,162.41
M2,2020-01-01,R4,3.79,3.74,completed,0.0,171.02
M2,2020-01-01,R3,1.02,0.99,completed,2.5,40.95
M2,2020-01-01,R5,0.79,0.76,completed,2.0,31.24
M1,2020-01-02,R2,15.26,15.2,completed,0.0,842.52
M1,2020-01-02,R1,5.24,5.42,completed,1.5,246.66
M2,2020-01-02,R3,9.1,9.41,completed,0.0,365.09
M2,2020-01-02,R4,6.56,6.72,completed,1.5,295.94
M2,2020-01-02,R1,3.33,3.37,completed,1.5,139.01
M3,2020-01-02,R1,2.63,2.7,completed,0.0,57.33
M3,2020-01-02,R5,1.47,1.47,completed,2.0,29.84
M1,2020-01-03,R2,9.76,9.51,completed,0.0,538.79
M1,2020-01-03,R1,5.24,5.32,completed,1.5,246.77
M2,2020-01-03,R3,5.47,5.66,completed,0.0,219.5
M2,2020-01-03,R4,4.16,4.0,completed,1.5,187.47
M2,2020-01-03,R1,2.05,2.01,completed,1.5,85.41
M3,2020-01-03,R5,0.92,0.9,completed,0.0,18.71
M1,2020-01-04,R2,9.68,9.37,completed,0.0,534.59
M1,2020-01-04,R1,5.32,5.2,completed,1.5,250.35
M2,2020-01-04,R3,5.69,5.64,completed,0.0,228.3
M2,2020-01-04,R4,3.93,4.06,completed,1.5,177.07
M2,2020-01-04,R1,1.99,2.05,completed,1.5,83.06
M3,2020-01-04,R5,0.99,1.02,completed,0.0,20.07
M1,2020-01-05,R2,15.25,14.79,completed,0.0,841.77
M1,2020-01-05,R1,5.25,5.05,completed,1.5,247.3
M2,2020-01-05,R3,9.02,8.74,completed,0.0,361.61
M2,2020-01-05,R4,6.45,6.67,completed,1.5,291.06
M2,2020-01-05,R1,3.53,3.43,completed,1.5,147.15
M3,2020-01-05,R1,2.66,2.67,completed,0.0,57.9
M3,2020-01-05,R5,1.44,1.41,completed,2.0,29.32
M1,2020-01-06,R2,15.23,14.65,completed,0.0,840.76
M1,2020-01-06,R1,5.27,5.09,completed,1.5,248.16
M2,2020-01-06,R3,9.34,9.49,completed,0.0,374.41
M2,2020-01-06,R4,6.4,6.24,completed,1.5,288.59
M2,2020-01-06,R1,3.26,3.19,completed,1.5,136.12
M3,2020-01-06,R1,2.52,2.5,completed,0.0,54.96
M3,2020-01-06,R5,1.58,1.6,completed,2.0,32.05
M1,2020-01-07,R2,7.62,7.61,completed,0.0,420.9
M1,2020-01-07,R1,5.64,5.84,completed,1.5,265.51
M1,2020-01-07,R3,4.38,4.35,completed,2.5,194.33
M3,2020-01-07,R4,3.2,3.12,completed,0.0,74.29
M3,2020-01-07,R5,0.76,0.76,completed,2.0,15.41
M1,2020-01-08,R2,15.33,15.27,completed,0.0,846.41
M1,2020-01-08,R1,5.17,5.29,completed,1.5,243.34
M2,2020-01-08,R3,9.09,9.4,completed,0.0,364.43
M2,2020-01-08,R4,6.52,6.7,completed,1.5,294.22
M2,2020-01-08,R1,3.39,3.36,completed,1.5,141.29
M3,2020-01-08,R1,2.54,2.48,completed,0.0,55.39
M3,2020-01-08,R5,1.56,1.61,completed,2.0,31.65
M1,2020-01-09,R2,15.32,15.18,completed,0.0,845.84
M1,2020-01-09,R1,5.18,5.29,completed,1.5,243.83
M2,2020-01-09,R3,9.05,9.4,completed,0.0,362.71
M2,2020-01-09,R4,6.54,6.58,completed,1.5,295.04
M2,2020-01-09,R1,3.41,3.41,completed,1.5,142.32
M3,2020-01-09,R1,2.58,2.62,completed,0.0,56.19
M3,2020-01-09,R5,1.52,1.48,completed,2.0,30.9
M1,2020-01-10,R2,9.72,9.71,completed,0.0,536.44
M1,2020-01-10,R1,5.28,5.2,completed,1.5,248.78
M2,2020-01-10,R3,5.64,5.49,completed,0.0,226.04
M2,2020-01-10,R4,4.17,4.21,completed,1.5,188.18
M2,2020-01-10,R1,1.85,1.86,completed,1.5,77.26
M3,2020-01-10,R5,0.94,0.96,completed,0.0,19.04
M1,2020-01-11,R2,9.63,9.92,completed,0.0,531.61
M1,2020-01-11,R1,5.37,5.25,completed,1.5,252.89
M2,2020-01-11,R3,5.93,6.06,completed,0.0,237.71
M2,2020-01-11,R4,4.27,4.23,completed,1.5,192.68
M2,2020-01-11,R1,1.47,1.48,completed,1.5,61.14
M3,2020-01-11,R5,0.93,0.96,completed,0.0,18.95
M1,2020-01-12,R2,15.29,14.99,completed,0.0,844.05
M1,2020-01-12,R1,5.21,5.25,completed,1.5,245.35
M2,2020-01-12,R3,9.27,9.26,completed,0.0,371.74
M2,2020-01-12,R4,6.49,6.64,completed,1.5,292.81
M2,2020-01-12,R1,3.24,3.29,completed,1.5,134.99
M3,2020-01-12,R1,2.5,2.56,completed,0.0,54.58
M3,2020-01-12,R5,1.6,1.57,completed,2.0,32.4
M1,2020-01-13,R2,15.19,15.43,completed,0.0,838.29
M1,2020-01-13,R1,5.31,5.36,completed,1.5,250.27
M2,2020-01-13,R3,9.18,9.15,completed,0.0,368.28
M2,2020-01-13,R4,6.34,6.28,completed,1.5,285.83
M2,2020-01-13,R1,3.48,3.43,completed,1.5,145.05
M3,2020-01-13,R1,2.63,2.52,completed,0.0,57.27
M3,2020-01-13,R5,1.47,1.43,completed,2.0,29.9
M1,2020-01-14,R2,15.26,14.73,completed,0.0,842.55
M1,2020-01-14,R1,5.24,5.38,completed,1.5,246.64
M2,2020-01-14,R3,9.13,9.39,completed,0.0,365.95
M2,2020-01-14,R4,6.46,6.63,completed,1.5,291.12
M2,2020-01-14,R1,3.42,3.51,completed,1.5,142.57
M3,2020-01-14,R1,2.59,2.53,completed,0.0,56.48
M3,2020-01-14,R5,1.51,1.51,completed,2.0,30.63
M1,2020-01-15,R2,15.18,15.68,completed,0.0,838.13
M1,2020-01-15,R1,5.32,5.43,completed,1.5,250.41
M2,2020-01-15,R3,9.29,8.92,completed,0.0,372.61
M2,2020-01-15,R4,6.36,6.34,completed,1.5,286.99
M2,2020-01-15,R1,3.34,3.21,completed,1.5,139.47
M3,2020-01-15,R1,2.59,2.54,completed,0.0,56.46
M3,2020-01-15,R5,1.51,1.5,completed,2.0,30.66
M1,2020-01-16,R2,15.2,15.68,completed,0.0,839.08
M1,2020-01-16,R1,5.3,5.36,completed,1.5,249.6
M2,2020-01-16,R3,9.36,9.26,completed,0.0,375.53
M2,2020-01-16,R4,6.7,6.69,completed,1.5,302.11
M2,2020-01-16,R1,2.94,3.01,completed,1.5,122.45
M3,2020-01-16,R1,2.63,2.58,completed,0.0,57.27
M3,2020-01-16,R5,1.47,1.49,completed,2.0,29.9
M1,2020-01-17,R2,9.72,9.53,completed,0.0,536.32
M1,2020-01-17,R1,5.28,5.28,completed,1.5,248.88
M2,2020-01-17,R3,5.77,5.55,completed,0.0,231.45
M2,2020-01-17,R4,4.24,4.36,completed,1.5,191.1
M2,2020-01-17,R1,1.61,1.56,completed,1.5,67.28
M3,2020-01-17,R5,0.98,0.96,completed,0.0,19.84
M2,2020-01-18,R2,3.85,3.8,completed,0.0,180.76
M2,2020-01-18,R1,2.76,2.79,completed,1.5,115.14
M2,2020-01-18,R3,2.45,2.49,completed,2.5,98.21
M2,2020-01-18,R4,1.63,1.58,completed,1.5,73.56
M3,2020-01-18,R5,0.4,0.39,completed,0.0,8.22
M1,2020-01-19,R2,15.21,15.57,completed,0.0,839.6
M1,2020-01-19,R1,5.29,5.38,completed,1.5,249.15
M2,2020-01-19,R3,9.24,9.49,completed,0.0,370.55
M2,2020-01-19,R4,6.43,6.52,completed,1.5,290.06
M2,2020-01-19,R1,3.33,3.39,completed,1.5,138.78
M3,2020-01-19,R1,2.6,2.57,completed,0.0,56.64
M3,2020-01-19,R5,1.5,1.51,completed,2.0,30.49
M1,2020-01-20,R2,15.12,15.49,completed,0.0,834.53
M1,2020-01-20,R1,5.38,5.24,completed,1.5,253.48
M2,2020-01-20,R3,9.52,9.46,completed,0.0,381.63
M2,2020-01-20,R4,6.3,6.42,completed,1.5,284.29
M2,2020-01-20,R1,3.18,3.19,completed,1.5,132.58
M3,2020-01-20,R1,2.55,2.59,completed,0.0,55.66
M3,2020-01-20,R5,1.55,1.52,completed,2.0,31.4
M1,2020-01-21,R2,15.22,14.65,completed,0.0,839.93
M1,2020-01-21,R1,5.28,5.08,completed,1.5,248.87
M2,2020-01-21,R3,9.3,9.62,completed,0.0,372.76
M2,2020-01-21,R4,6.21,6.43,completed,1.5,280.07
M2,2020-01-21,R1,3.49,3.41,completed,1.5,145.72
M3,2020-01-21,R1,2.51,2.44,completed,0.0,54.66
M3,2020-01-21,R5,1.59,1.53,completed,2.0,32.33
M1,2020-01-22,R2,15.16,14.83,completed,0.0,836.62
M1,2020-01-22,R1,5.34,5.27,completed,1.5,251.69
M2,2020-01-22,R3,9.4,9.2,completed,0.0,376.83
M2,2020-01-22,R4,6.34,6.49,completed,1.5,285.88
M2,2020-01-22,R1,3.26,3.33,completed,1.5,136.11
M3,2020-01-22,R1,2.57,2.48,completed,0.0,56.02
M3,2020-01-22,R5,1.53,1.55,completed,2.0,31.06
M2,2020-01-23,R2,7.55,7.56,completed,0.0,354.11
M2,2020-01-23,R1,5.6,5.44,completed,1.5,233.72
M2,2020-01-23,R3,4.52,4.6,completed,2.5,181.14
M3,2020-01-23,R4,3.19,3.09,completed,0.0,74.12
M3,2020-01-23,R5,0.73,0.71,completed,2.0,14.88
M1,2020-01-24,R2,9.7,9.42,completed,0.0,535.26
M1,2020-01-24,R1,5.3,5.49,completed,1.5,249.78
M2,2020-01-24,R3,5.79,5.88,completed,0.0,232.12
M2,2020-01-24,R4,4.08,4.06,completed,1.5,184.2
M2,2020-01-24,R1,1.72,1.77,completed,1.5,71.9
M3,2020-01-24,R5,1.0,0.98,completed,0.0,20.36
M1,2020-01-25,R2,9.7,10.03,completed,0.0,535.44
M1,2020-01-25,R1,5.3,5.38,completed,1.5,249.63
M2,2020-01-25,R3,5.7,5.73,completed,0.0,228.75
M2,2020-01-25,R4,4.21,4.3,completed,1.5,189.68
M2,2020-01-25,R1,1.75,1.77,completed,1.5,73.09
M3,2020-01-25,R5,0.94,0.97,completed,0.0,19.02
M1,2020-01-26,R2,15.36,15.77,completed,0.0,848.13
M1,2020-01-26,R1,5.14,5.01,completed,1.5,241.87
M2,2020-01-26,R3,9.0,8.81,completed,0.0,360.92
M2,2020-01-26,R4,6.56,6.33,completed,1.5,295.8
M2,2020-01-26,R1,3.44,3.36,completed,1.5,143.48
M3,2020-01-26,R1,2.55,2.52,completed,0.0,55.63
M3,2020-01-26,R5,1.55,1.49,completed,2.0,31.43
M1,2020-01-27,R2,15.42,15.19,completed,0.0,851.14
M1,2020-01-27,R1,5.08,5.19,completed,1.5,239.31
M2,2020-01-27,R3,9.07,9.32,completed,0.0,363.79
M2,2020-01-27,R4,6.68,6.42,completed,1.5,301.26
M2,2020-01-27,R1,3.25,3.12,completed,1.5,135.45
M3,2020-01-27,R1,2.49,2.42,completed,0.0,54.21
M3,2020-01-27,R5,1.61,1.66,completed,2.0,32.75
M1,2020-01-28,R2,15.13,15.09,completed,0.0,835.01
M1,2020-01-28,R1,5.37,5.58,completed,1.5,253.07
M2,2020-01-28,R3,9.49,9.78,completed,0.0,380.58
M2,2020-01-28,R4,6.32,6.51,completed,1.5,284.84
M2,2020-01-28,R1,3.19,3.1,completed,1.5,133.17
M3,2020-01-28,R1,2.56,2.55,completed,0.0,55.75
M3,2020-01-28,R5,1.54,1.6,completed,2.0,31.32
M2,2020-01-29,R2,7.51,7.3,completed,0.0,352.3
M2,2020-01-29,R1,5.62,5.66,completed,1.5,234.47
M2,2020-01-29,R3,4.64,4.58,completed,2.5,185.98
M3,2020-01-29,R4,3.05,3.02,completed,0.0,70.74
M3,2020-01-29,R5,0.78,0.8,completed,2.0,15.81
M1,2020-01-30,R2,15.5,15.61,completed,0.0,855.45
M1,2020-01-30,R1,5.0,5.11,completed,1.5,235.63
M2,2020-01-30,R3,8.66,8.78,completed,0.0,347.15
M2,2020-01-30,R1,6.43,6.45,completed,1.5,268.28
M2,2020-01-30,R4,3.91,4.0,completed,1.5,176.31
M3,2020-01-30,R4,2.5,2.6,completed,0.0,58.08
M3,2020-01-30,R5,1.6,1.66,completed,2.0,32.41
M1,2020-01-31,R2,9.74,9.97,completed,0.0,537.88
M1,2020-01-31,R1,5.26,5.25,completed,1.5,247.54
M2,2020-01-31,R3,5.67,5.51,completed,0.0,227.23
M2,2020-01-31,R4,4.08,3.93,completed,1.5,183.82
M2,2020-01-31,R1,1.85,1.81,completed,1.5,77.1
M3,2020-01-31,R5,1.01,1.0,completed,0.0,20.48
M1,2020-02-01,R2,9.74,9.45,completed,0.0,537.41
M1,2020-02-01,R1,5.26,5.15,completed,1.5,247.95
M2,2020-02-01,R3,5.52,5.33,completed,0.0,221.28
M2,2020-02-01,R4,4.12,4.13,completed,1.5,185.88
M2,2020-02-01,R1,2.04,1.98,completed,1.5,85.07
M3,2020-02-01,R5,0.92,0.94,completed,0.0,18.68
M1,2020-02-02,R2,8.39,8.27,completed,0.0,462.89
M1,2020-02-02,R1,6.14,6.22,completed,1.5,289.2
M1,2020-02-02,R3,3.47,3.58,completed,2.5,154.25
M2,2020-02-02,R4,3.56,3.44,completed,0.0,160.66
M2,2020-02-02,R3,1.2,1.25,completed,2.5,48.3
M2,2020-02-02,R5,0.83,0.84,completed,2.0,33.08
M1,2020-02-03,R2,15.24,14.7,completed,0.0,841.44
M1,2020-02-03,R1,5.26,5.18,completed,1.5,247.58
M2,2020-02-03,R3,9.19,9.48,completed,0.0,368.71
M2,2020-02-03,R4,6.43,6.48,completed,1.5,290.03
M2,2020-02-03,R1,3.37,3.32,completed,1.5,140.72
M3,2020-02-03,R1,2.58,2.67,completed,0.0,56.19
M3,2020-02-03,R5,1.52,1.56,completed,2.0,30.9
M1,2020-02-04,R2,15.25,15.54,completed,0.0,842.02
M1,2020-02-04,R1,5.25,5.41,completed,1.5,247.09
M2,2020-02-04,R3,9.12,9.32,completed,0.0,365.88
M2,2020-02-04,R4,6.33,6.23,completed,1.5,285.66
M2,2020-02-04,R1,3.54,3.57,completed,1.5,147.69
M3,2020-02-04,R1,2.57,2.64,completed,0.0,56.04
M3,2020-02-04,R5,1.53,1.49,completed,2.0,31.05
M1,2020-02-05,R2,15.32,14.91,completed,0.0,845.7
M1,2020-02-05,R1,5.18,5.04,completed,1.5,243.94
M2,2020-02-05,R3,9.08,8.86,completed,0.0,364.24
M2,2020-02-05,R4,6.62,6.41,completed,1.5,298.57
M2,2020-02-05,R1,3.3,3.39,completed,1.5,137.46
M3,2020-02-05,R1,2.58,2.65,completed,0.0,56.35
M3,2020-02-05,R5,1.52,1.47,completed,2.0,30.76
M1,2020-02-06,R2,15.21,15.46,completed,0.0,839.58
M1,2020-02-06,R1,5.29,5.34,completed,1.5,249.17
M2,2020-02-06,R3,9.4,9.23,completed,0.0,376.87
M2,2020-02-06,R4,6.35,6.21,completed,1.5,286.24
M2,2020-02-06,R1,3.25,3.19,completed,1.5,135.73
M3,2020-02-06,R1,2.51,2.55,completed,0.0,54.63
M3,2020-02-06,R5,1.59,1.57,completed,2.0,32.36
M1,2020-02-07,R2,9.84,9.66,completed,0.0,543.03
M1,2020-02-07,R1,5.16,4.97,completed,1.5,243.16
M2,2020-02-07,R3,5.54,5.73,completed,0.0,222.33
M2,2020-02-07,R4,4.23,4.32,completed,1.5,190.88
M2,2020-02-07,R1,1.8,1.79,completed,1.5,74.97
M3,2020-02-07,R5,1.03,1.06,completed,0.0,20.82
M1,2020-02-08,R2,9.59,9.43,completed,0.0,529.28
M1,2020-02-08,R1,5.41,5.49,completed,1.5,254.88
M2,2020-02-08,R3,5.97,5.88,completed,0.0,239.55
M2,2020-02-08,R4,4.0,3.94,completed,1.5,180.57
M2,2020-02-08,R1,1.65,1.69,completed,1.5,68.68
M3,2020-02-08,R5,0.98,1.0,completed,0.0,19.8
M1,2020-02-09,R2,15.35,15.1,completed,0.0,847.41
M1,2020-02-09,R1,5.15,4.98,completed,1.5,242.49
M2,2020-02-09,R3,8.92,8.82,completed,0.0,357.81
M2,2020-02-09,R4,6.34,6.47,completed,1.5,285.93
M2,2020-02-09,R1,3.74,3.62,completed,1.5,155.84
M3,2020-02-09,R1,2.54,2.58,completed,0.0,55.43
M3,2020-02-09,R5,1.56,1.61,completed,2.0,31.61
M1,2020-02-10,R2,15.33,14.94,completed,0.0,846.47
M1,2020-02-10,R1,5.17,5.32,completed,1.5,243.29
M2,2020-02-10,R3,8.98,8.66,completed,0.0,360.11
M2,2020-02-10,R4,6.49,6.57,completed,1.5,292.56
M2,2020-02-10,R1,3.53,3.62,completed,1.5,147.32
M3,2020-02-10,R1,2.58,2.57,completed,0.0,56.2
M3,2020-02-10,R5,1.52,1.49,completed,2.0,30.9
M1,2020-02-11,R2,15.24,15.76,completed,0.0,841.31
M1,2020-02-11,R1,5.26,5.06,completed,1.5,247.69
M2,2020-02-11,R3,9.31,9.35,completed,0.0,373.2
M2,2020-02-11,R4,6.6,6.53,completed,1.5,297.51
M2,2020-02-11,R1,3.1,3.09,completed,1.5,129.13
M3,2020-02-11,R1,2.58,2.58,completed,0.0,56.15
M3,2020-02-11,R5,1.52,1.53,completed,2.0,30.94
M1,2020-02-12,R2,15.38,15.02,completed,0.0,849.04
M1,2020-02-12,R1,5.12,5.19,completed,1.5,241.1
M2,2020-02-12,R3,8.71,8.38,completed,0.0,349.37
M2,2020-02-12,R1,6.52,6.27,completed,1.5,271.81
M2,2020-02-12,R4,3.77,3.76,completed,1.5,170.0
M3,2020-02-12,R4,2.61,2.62,completed,0.0,60.59
M3,2020-02-12,R5,1.49,1.46,completed,2.0,30.22
M1,2020-02-13,R2,15.17,15.23,completed,0.0,837.32
M1,2020-02-13,R1,5.33,5.34,completed,1.5,251.1
M2,2020-02-13,R3,9.2,9.08,completed,0.0,368.73
M2,2020-02-13,R4,6.62,6.7,completed,1.5,298.55
M2,2020-02-13,R1,3.18,3.3,completed,1.5,132.81
M3,2020-02-13,R1,2.72,2.72,completed,0.0,59.29
M3,2020-02-13,R5,1.38,1.41,completed,2.0,28.02
M1,2020-02-14,R2,9.55,9.36,completed,0.0,527.34
M1,2020-02-14,R1,5.45,5.56,completed,1.5,256.54
M2,2020-02-14,R3,6.0,6.07,completed,0.0,240.71
M2,2020-02-14,R4,4.11,4.16,completed,1.5,185.53
M2,2020-02-14,R1,1.57,1.62,completed,1.5,65.37
M3,2020-02-14,R5,0.92,0.9,completed,0.0,18.59
M1,2020-02-15,R2,9.6,9.5,completed,0.0,530.1
M1,2020-02-15,R1,5.4,5.22,completed,1.5,254.19
M2,2020-02-15,R3,5.85,5.95,completed,0.0,234.52
M2,2020-02-15,R4,4.14,4.25,completed,1.5,186.57
M2,2020-02-15,R1,1.71,1.7,completed,1.5,71.44
