sku_id,date,demand_tons,demand_units,confidence_pct,seasonality_index,scenario_id,forecast_lower,forecast_upper
SKU001,2020-01-01,272.38,6053,1.0,1.0,base,,
SKU002,2020-01-01,114.61,11461,1.0,1.0,base,,
SKU003,2020-01-01,26.12,26120,1.0,1.0,base,,
SKU004,2020-01-01,220.28,4895,1.0,1.0,base,,
SKU005,2020-01-01,93.8,9380,1.0,1.0,base,,
SKU006,2020-01-01,111.01,2467,1.0,1.0,base,,
SKU007,2020-01-01,78.4,7840,1.0,1.0,base,,
SKU008,2020-01-01,144.63,3214,1.0,1.0,base,,
SKU009,2020-01-01,77.29,7729,1.0,1.0,base,,
SKU010,2020-01-01,125.19,2782,1.0,1.0,base,,
SKU011,2020-01-01,232.77,5173,1.0,1.0,base,,
SKU012,2020-01-01,123.76,12376,1.0,1.0,base,,
SKU013,2020-01-01,225.91,5020,1.0,1.0,base,,
SKU014,2020-01-01,91.9,9190,1.0,1.0,base,,
SKU001,2020-01-02,282.51,6278,1.0,1.0,base,,
SKU002,2020-01-02,117.24,11724,1.0,1.0,base,,
SKU003,2020-01-02,29.18,29180,1.0,1.0,base,,
SKU004,2020-01-02,220.57,4902,1.0,1.0,base,,
SKU005,2020-01-02,91.57,9157,1.0,1.0,base,,
SKU006,2020-01-02,116.51,2589,1.0,1.0,base,,
SKU007,2020-01-02,76.13,7613,1.0,1.0,base,,
SKU008,2020-01-02,149.21,3316,1.0,1.0,base,,
SKU009,2020-01-02,78.09,7809,1.0,1.0,base,,
SKU010,2020-01-02,140.36,3119,1.0,1.0,base,,
SKU011,2020-01-02,237.92,5287,1.0,1.0,base,,
SKU012,2020-01-02,122.68,12268,1.0,1.0,base,,
SKU013,2020-01-02,187.88,4175,1.0,1.0,base,,
SKU014,2020-01-02,95.18,9518,1.0,1.0,base,,
SKU001,2020-01-03,294.64,6548,1.0,1.0,base,,
SKU002,2020-01-03,117.49,11749,1.0,1.0,base,,
SKU003,2020-01-03,28.02,28020,1.0,1.0,base,,
SKU004,2020-01-03,202.58,4502,1.0,1.0,base,,
SKU005,2020-01-03,78.96,7896,1.0,1.0,base,,
SKU006,2020-01-03,102.09,2269,1.0,1.0,base,,
SKU007,2020-01-03,76.77,7677,1.0,1.0,base,,
SKU008,2020-01-03,134.86,2997,1.0,1.0,base,,
SKU009,2020-01-03,68.94,6894,1.0,1.0,base,,
SKU010,2020-01-03,123.65,2748,1.0,1.0,base,,
SKU011,2020-01-03,209.21,4649,1.0,1.0,base,,
SKU012,2020-01-03,111.62,11162,1.0,1.0,base,,
SKU013,2020-01-03,190.16,4226,1.0,1.0,base,,
SKU014,2020-01-03,86.84,8684,1.0,1.0,base,,
SKU001,2020-01-04,270.66,6015,1.0,1.01,base,,
SKU002,2020-01-04,115.22,11522,1.0,1.01,base,,
SKU003,2020-01-04,27.47,27470,1.0,1.01,base,,
SKU004,2020-01-04,188.25,4183,1.0,1.01,base,,
SKU005,2020-01-04,76.99,7699,1.0,1.01,base,,
SKU006,2020-01-04,117.14,2603,1.0,1.01,base,,
SKU007,2020-01-04,73.36,7336,1.0,1.01,base,,
SKU008,2020-01-04,135.94,3021,1.0,1.01,base,,
SKU009,2020-01-04,78.39,7839,1.0,1.01,base,,
SKU010,2020-01-04,123.72,2749,1.0,1.01,base,,
SKU011,2020-01-04,231.33,5141,1.0,1.01,base,,
SKU012,2020-01-04,112.68,11268,1.0,1.01,base,,
SKU013,2020-01-04,175.45,3899,1.0,1.01,base,,
SKU014,2020-01-04,82.96,8296,1.0,1.01,base,,
SKU001,2020-01-05,295.72,6572,1.0,1.01,base,,
SKU002,2020-01-05,125.67,12567,1.0,1.01,base,,
SKU003,2020-01-05,32.47,32470,1.0,1.01,base,,
SKU004,2020-01-05,215.08,4780,1.0,1.01,base,,
SKU005,2020-01-05,105.93,10593,1.0,1.01,base,,
SKU006,2020-01-05,115.3,2562,1.0,1.01,base,,
SKU007,2020-01-05,78.97,7897,1.0,1.01,base,,
SKU008,2020-01-05,150.61,3347,1.0,1.01,base,,
SKU009,2020-01-05,74.86,7486,1.0,1.01,base,,
SKU010,2020-01-05,148.35,3297,1.0,1.01,base,,
SKU011,2020-01-05,252.64,5614,1.0,1.01,base,,
SKU012,2020-01-05,120.97,12097,1.0,1.01,base,,
SKU013,2020-01-05,196.05,4357,1.0,1.01,base,,
SKU014,2020-01-05,83.87,8387,1.0,1.01,base,,
SKU001,2020-01-06,271.26,6028,1.0,1.01,base,,
SKU002,2020-01-06,125.53,12553,1.0,1.01,base,,
