date,flour_type,required_tons
2020-01-01,Bakery,81.05
2020-01-01,Brown,29.259999999999998
2020-01-01,Patent,46.86
2020-01-01,Superior,97.88
2020-01-01,Superior Brown,9.7
2020-01-02,Bakery,86.46
2020-01-02,Brown,24.72
2020-01-02,Patent,47.56999999999999
2020-01-02,Superior,109.87
2020-01-02,Superior Brown,10.24
2020-01-03,Bakery,67.37
2020-01-03,Brown,21.52
2020-01-03,Patent,39.61
2020-01-03,Superior,88.16
2020-01-03,Superior Brown,8.09
2020-01-04,Bakery,64.0
2020-01-04,Brown,25.48
2020-01-04,Patent,43.81
2020-01-04,Superior,89.26
2020-01-04,Superior Brown,8.28
2020-01-05,Bakery,83.13000000000001
2020-01-05,Brown,31.22
2020-01-05,Patent,48.43
2020-01-05,Superior,106.65
2020-01-05,Superior Brown,11.3
2020-01-06,Bakery,82.52000000000001
2020-01-06,Brown,24.229999999999997
2020-01-06,Patent,49.17
2020-01-06,Superior,101.18
2020-01-06,Superior Brown,11.11
2020-01-07,Bakery,74.22
2020-01-07,Brown,28.18
2020-01-07,Patent,44.730000000000004
2020-01-07,Superior,108.72
2020-01-07,Superior Brown,11.1
2020-01-08,Bakery,83.52
2020-01-08,Brown,28.5
2020-01-08,Patent,47.12
2020-01-08,Superior,115.5
2020-01-08,Superior Brown,8.84
2020-01-09,Bakery,80.44
2020-01-09,Brown,28.63
2020-01-09,Patent,50.46
2020-01-09,Superior,110.43
2020-01-09,Superior Brown,8.25
2020-01-10,Bakery,76.01
2020-01-10,Brown,23.23
2020-01-10,Patent,39.769999999999996
2020-01-10,Superior,90.84
2020-01-10,Superior Brown,7.86
2020-01-11,Bakery,61.65
2020-01-11,Brown,22.98
2020-01-11,Patent,45.64
2020-01-11,Superior,86.64
2020-01-11,Superior Brown,8.98
2020-01-12,Bakery,84.45
2020-01-12,Brown,28.28
2020-01-12,Patent,43.25
2020-01-12,Superior,109.10000000000001
2020-01-12,Superior Brown,10.26
2020-01-13,Bakery,84.02
2020-01-13,Brown,29.64
2020-01-13,Patent,50.95
2020-01-13,Superior,109.76
2020-01-13,Superior Brown,10.65
2020-01-14,Bakery,77.47
2020-01-14,Brown,27.33
2020-01-14,Patent,51.18
2020-01-14,Superior,104.81
2020-01-14,Superior Brown,9.76
2020-01-15,Bakery,79.76
2020-01-15,Brown,29.44
2020-01-15,Patent,48.16
2020-01-15,Superior,106.03
2020-01-15,Superior Brown,9.0
2020-01-16,Bakery,83.76
2020-01-16,Brown,27.84
2020-01-16,Patent,49.57
2020-01-16,Superior,109.28999999999999
2020-01-16,Superior Brown,10.41
2020-01-17,Bakery,73.37
2020-01-17,Brown,23.65
2020-01-17,Patent,40.120000000000005
2020-01-17,Superior,87.12
2020-01-17,Superior Brown,7.82
2020-01-18,Bakery,76.13
2020-01-18,Brown,24.81
2020-01-18,Patent,42.75
2020-01-18,Superior,93.78999999999999
2020-01-18,Superior Brown,9.72
2020-01-19,Bakery,89.02
2020-01-19,Brown,30.77
2020-01-19,Patent,46.76
2020-01-19,Superior,105.9
2020-01-19,Superior Brown,11.24
2020-01-20,Bakery,92.49
2020-01-20,Brown,29.42
2020-01-20,Patent,51.77
2020-01-20,Superior,115.07
2020-01-20,Superior Brown,10.43
2020-01-21,Bakery,78.46
2020-01-21,Brown,32.44
2020-01-21,Patent,49.260000000000005
2020-01-21,Superior,109.47999999999999
2020-01-21,Superior Brown,11.65
2020-01-22,Bakery,84.41
2020-01-22,Brown,27.16
2020-01-22,Patent,50.46
2020-01-22,Superior,112.23
2020-01-22,Superior Brown,10.0
2020-01-23,Bakery,83.53
2020-01-23,Brown,26.490000000000002
2020-01-23,Patent,46.41
2020-01-23,Superior,109.91
2020-01-23,Superior Brown,10.82
2020-01-24,Bakery,77.26
2020-01-24,Brown,25.240000000000002
2020-01-24,Patent,43.75
2020-01-24,Superior,94.92
2020-01-24,Superior Brown,10.31
2020-01-25,Bakery,73.48
2020-01-25,Brown,21.259999999999998
2020-01-25,Patent,37.9
2020-01-25,Superior,88.8
2020-01-25,Superior Brown,9.38
2020-01-26,Bakery,87.01
2020-01-26,Brown,30.77
2020-01-26,Patent,47.13
2020-01-26,Superior,100.2
2020-01-26,Superior Brown,10.13
2020-01-27,Bakery,83.4
2020-01-27,Brown,31.0
2020-01-27,Patent,42.14
2020-01-27,Superior,112.11
2020-01-27,Superior Brown,11.29
2020-01-28,Bakery,83.14
2020-01-28,Brown,30.15
2020-01-28,Patent,51.82
2020-01-28,Superior,104.22
2020-01-28,Superior Brown,10.13
2020-01-29,Bakery,79.6
2020-01-29,Brown,27.09
2020-01-29,Patent,50.49
2020-01-29,Superior,110.25
2020-01-29,Superior Brown,9.2
2020-01-30,Bakery,79.6
2020-01-30,Brown,28.08
2020-01-30,Patent,48.55
2020-01-30,Superior,104.19
2020-01-30,Superior Brown,9.46
2020-01-31,Bakery,75.34
2020-01-31,Brown,26.22
2020-01-31,Patent,40.84
2020-01-31,Superior,96.97
2020-01-31,Superior Brown,9.51
2020-02-01,Bakery,71.63
2020-02-01,Brown,24.58
2020-02-01,Patent,48.519999999999996
2020-02-01,Superior,88.47
2020-02-01,Superior Brown,8.85
2020-02-02,Bakery,84.53
2020-02-02,Brown,32.98
2020-02-02,Patent,54.379999999999995
2020-02-02,Superior,116.45
2020-02-02,Superior Brown,10.5
2020-02-03,Bakery,84.56
2020-02-03,Brown,28.259999999999998
2020-02-03,Patent,46.33
2020-02-03,Superior,116.13
2020-02-03,Superior Brown,12.21
2020-02-04,Bakery,85.33
2020-02-04,Brown,31.1
2020-02-04,Patent,46.18
2020-02-04,Superior,119.84
2020-02-04,Superior Brown,10.04
2020-02-05,Bakery,77.23
2020-02-05,Brown,30.26
2020-02-05,Patent,48.65
2020-02-05,Superior,113.97
2020-02-05,Superior Brown,11.09
2020-02-06,Bakery,80.32
2020-02-06,Brown,31.019999999999996
2020-02-06,Patent,51.51
2020-02-06,Superior,109.55000000000001
2020-02-06,Superior Brown,8.85
2020-02-07,Bakery,73.93
2020-02-07,Brown,26.740000000000002
2020-02-07,Patent,39.35
2020-02-07,Superior,98.22999999999999
2020-02-07,Superior Brown,10.03
2020-02-08,Bakery,71.03
2020-02-08,Brown,23.46
2020-02-08,Patent,43.33
2020-02-08,Superior,91.88
2020-02-08,Superior Brown,9.9
2020-02-09,Bakery,97.1
2020-02-09,Brown,27.54
2020-02-09,Patent,50.14
2020-02-09,Superior,125.75
2020-02-09,Superior Brown,12.42
2020-02-10,Bakery,84.41
2020-02-10,Brown,27.369999999999997
2020-02-10,Patent,48.25
2020-02-10,Superior,107.73
2020-02-10,Superior Brown,12.71
2020-02-11,Bakery,93.11
2020-02-11,Brown,32.56
2020-02-11,Patent,43.69
2020-02-11,Superior,115.89
2020-02-11,Superior Brown,10.44
2020-02-12,Bakery,90.03999999999999
2020-02-12,Brown,27.869999999999997
2020-02-12,Patent,50.58
2020-02-12,Superior,106.75
2020-02-12,Superior Brown,11.42
2020-02-13,Bakery,77.98
2020-02-13,Brown,33.9
2020-02-13,Patent,47.21
2020-02-13,Superior,107.98
2020-02-13,Superior Brown,9.34
2020-02-14,Bakery,69.17
2020-02-14,Brown,23.83
2020-02-14,Patent,40.56
2020-02-14,Superior,94.33000000000001
2020-02-14,Superior Brown,10.17
2020-02-15,Bakery,75.33
2020-02-15,Brown,25.33
2020-02-15,Patent,42.53
2020-02-15,Superior,96.81
2020-02-15,Superior Brown,11.73
2020-02-16,Bakery,88.92
2020-02-16,Brown,29.95
2020-02-16,Patent,48.83
2020-02-16,Superior,121.82
2020-02-16,Superior Brown,10.42
2020-02-17,Bakery,85.14
2020-02-17,Brown,33.75
2020-02-17,Patent,50.41
2020-02-17,Superior,114.78999999999999
2020-02-17,Superior Brown,11.44
2020-02-18,Bakery,87.01
2020-02-18,Brown,27.86
2020-02-18,Patent,48.349999999999994
2020-02-18,Superior,114.27
2020-02-18,Superior Brown,13.42
2020-02-19,Bakery,91.08
2020-02-19,Brown,33.849999999999994
2020-02-19,Patent,54.06999999999999
2020-02-19,Superior,123.47
2020-02-19,Superior Brown,13.08
2020-02-20,Bakery,89.25
2020-02-20,Brown,30.31
2020-02-20,Patent,48.67
2020-02-20,Superior,113.52
2020-02-20,Superior Brown,13.31
2020-02-21,Bakery,77.02
2020-02-21,Brown,27.33
2020-02-21,Patent,44.56
2020-02-21,Superior,94.31
2020-02-21,Superior Brown,9.17
2020-02-22,Bakery,73.32
2020-02-22,Brown,25.26
2020-02-22,Patent,40.94
2020-02-22,Superior,87.69
2020-02-22,Superior Brown,8.68
2020-02-23,Bakery,77.89999999999999
2020-02-23,Brown,31.25
2020-02-23,Patent,46.16
2020-02-23,Superior,115.77
2020-02-23,Superior Brown,11.83
2020-02-24,Bakery,84.42
2020-02-24,Brown,28.200000000000003
2020-02-24,Patent,55.93
2020-02-24,Superior,119.42
2020-02-24,Superior Brown,10.84
2020-02-25,Bakery,97.56
2020-02-25,Brown,32.52
2020-02-25,Patent,59.019999999999996
2020-02-25,Superior,113.28999999999999
2020-02-25,Superior Brown,9.96
2020-02-26,Bakery,87.91
2020-02-26,Brown,27.259999999999998
2020-02-26,Patent,54.33
2020-02-26,Superior,117.15
2020-02-26,Superior Brown,11.29
2020-02-27,Bakery,85.75
2020-02-27,Brown,32.14
2020-02-27,Patent,50.25
2020-02-27,Superior,118.89
2020-02-27,Superior Brown,11.81
2020-02-28,Bakery,77.76
2020-02-28,Brown,26.73
2020-02-28,Patent,47.019999999999996
2020-02-28,Superior,101.57
2020-02-28,Superior Brown,9.52
2020-02-29,Bakery,82.42
2020-02-29,Brown,27.479999999999997
2020-02-29,Patent,43.989999999999995
2020-02-29,Superior,100.5
2020-02-29,Superior Brown,10.46
2020-03-01,Bakery,93.14
2020-03-01,Brown,31.33
2020-03-01,Patent,54.81
2020-03-01,Superior,120.18
2020-03-01,Superior Brown,10.55
2020-03-02,Bakery,96.43
2020-03-02,Brown,36.0
2020-03-02,Patent,55.25
2020-03-02,Superior,115.37
2020-03-02,Superior Brown,11.58
2020-03-03,Bakery,91.63
2020-03-03,Brown,30.240000000000002
2020-03-03,Patent,49.04
2020-03-03,Superior,122.43
2020-03-03,Superior Brown,11.59
2020-03-04,Bakery,91.96000000000001
2020-03-04,Brown,28.16
2020-03-04,Patent,53.44
2020-03-04,Superior,116.19999999999999
2020-03-04,Superior Brown,11.94
2020-03-05,Bakery,84.2
2020-03-05,Brown,29.8
2020-03-05,Patent,49.120000000000005
2020-03-05,Superior,112.53
2020-03-05,Superior Brown,10.46
2020-03-06,Bakery,79.14
2020-03-06,Brown,27.59
2020-03-06,Patent,48.93000000000001
2020-03-06,Superior,95.77
2020-03-06,Superior Brown,9.33
2020-03-07,Bakery,82.34
2020-03-07,Brown,29.830000000000002
2020-03-07,Patent,46.61
2020-03-07,Superior,105.33
2020-03-07,Superior Brown,9.0
2020-03-08,Bakery,94.09
2020-03-08,Brown,26.73
2020-03-08,Patent,55.35
2020-03-08,Superior,114.34
2020-03-08,Superior Brown,10.06
2020-03-09,Bakery,91.69999999999999
2020-03-09,Brown,32.61
2020-03-09,Patent,55.42999999999999
2020-03-09,Superior,132.45
2020-03-09,Superior Brown,11.08
2020-03-10,Bakery,88.65
2020-03-10,Brown,32.480000000000004
2020-03-10,Patent,50.5
2020-03-10,Superior,118.68
2020-03-10,Superior Brown,11.34
2020-03-11,Bakery,101.62
2020-03-11,Brown,34.72
2020-03-11,Patent,52.92
2020-03-11,Superior,124.9
2020-03-11,Superior Brown,12.47
2020-03-12,Bakery,96.74
2020-03-12,Brown,33.21
2020-03-12,Patent,60.47
2020-03-12,Superior,127.11
2020-03-12,Superior Brown,11.42
2020-03-13,Bakery,90.32
2020-03-13,Brown,25.3
2020-03-13,Patent,40.25
2020-03-13,Superior,98.94
2020-03-13,Superior Brown,9.0
2020-03-14,Bakery,73.91
2020-03-14,Brown,25.95
2020-03-14,Patent,49.03
2020-03-14,Superior,105.94
2020-03-14,Superior Brown,8.65
2020-03-15,Bakery,92.16
2020-03-15,Brown,30.38
2020-03-15,Patent,58.07000000000001
2020-03-15,Superior,110.50999999999999
2020-03-15,Superior Brown,11.98
2020-03-16,Bakery,91.12
2020-03-16,Brown,31.21
2020-03-16,Patent,58.74
2020-03-16,Superior,116.49000000000001
2020-03-16,Superior Brown,10.83
2020-03-17,Bakery,84.55
2020-03-17,Brown,30.25
2020-03-17,Patent,52.5
2020-03-17,Superior,120.61
2020-03-17,Superior Brown,12.06
2020-03-18,Bakery,89.85
2020-03-18,Brown,36.31
2020-03-18,Patent,53.79
2020-03-18,Superior,109.02
2020-03-18,Superior Brown,9.74
2020-03-19,Bakery,86.41
2020-03-19,Brown,28.77
2020-03-19,Patent,55.11
2020-03-19,Superior,112.3
2020-03-19,Superior Brown,12.13
2020-03-20,Bakery,76.11
2020-03-20,Brown,29.43
2020-03-20,Patent,42.019999999999996
2020-03-20,Superior,98.32000000000001
2020-03-20,Superior Brown,8.47
2020-03-21,Bakery,76.03
2020-03-21,Brown,25.9
2020-03-21,Patent,46.75
2020-03-21,Superior,98.28999999999999
2020-03-21,Superior Brown,7.95
2020-03-22,Bakery,94.81
2020-03-22,Brown,33.88
