date,flour_type,required_tons,recipe_id,allocation_pct,notes,recipe_tons
2020-01-01,Bakery,81.05,R2,0.5,Primary recipe,40.525
2020-01-01,Bakery,81.05,R4,0.5,Alternative recipe,40.525
2020-01-02,Bakery,86.46,R2,0.5,Primary recipe,43.23
2020-01-02,Bakery,86.46,R4,0.5,Alternative recipe,43.23
2020-01-03,Bakery,67.37,R2,0.5,Primary recipe,33.685
2020-01-03,Bakery,67.37,R4,0.5,Alternative recipe,33.685
2020-01-04,Bakery,64.0,R2,0.5,Primary recipe,32.0
2020-01-04,Bakery,64.0,R4,0.5,Alternative recipe,32.0
2020-01-05,Bakery,83.13000000000001,R2,0.5,Primary recipe,41.565000000000005
2020-01-05,Bakery,83.13000000000001,R4,0.5,Alternative recipe,41.565000000000005
2020-01-06,Bakery,82.52000000000001,R2,0.5,Primary recipe,41.260000000000005
2020-01-06,Bakery,82.52000000000001,R4,0.5,Alternative recipe,41.260000000000005
2020-01-07,Bakery,74.22,R2,0.5,Primary recipe,37.11
2020-01-07,Bakery,74.22,R4,0.5,Alternative recipe,37.11
2020-01-08,Bakery,83.52,R2,0.5,Primary recipe,41.76
2020-01-08,Bakery,83.52,R4,0.5,Alternative recipe,41.76
2020-01-09,Bakery,80.44,R2,0.5,Primary recipe,40.22
2020-01-09,Bakery,80.44,R4,0.5,Alternative recipe,40.22
2020-01-10,Bakery,76.01,R2,0.5,Primary recipe,38.005
2020-01-10,Bakery,76.01,R4,0.5,Alternative recipe,38.005
2020-01-11,Bakery,61.65,R2,0.5,Primary recipe,30.825
2020-01-11,Bakery,61.65,R4,0.5,Alternative recipe,30.825
2020-01-12,Bakery,84.45,R2,0.5,Primary recipe,42.225
2020-01-12,Bakery,84.45,R4,0.5,Alternative recipe,42.225
2020-01-13,Bakery,84.02,R2,0.5,Primary recipe,42.01
2020-01-13,Bakery,84.02,R4,0.5,Alternative recipe,42.01
2020-01-14,Bakery,77.47,R2,0.5,Primary recipe,38.735
2020-01-14,Bakery,77.47,R4,0.5,Alternative recipe,38.735
2020-01-15,Bakery,79.76,R2,0.5,Primary recipe,39.88
2020-01-15,Bakery,79.76,R4,0.5,Alternative recipe,39.88
2020-01-16,Bakery,83.76,R2,0.5,Primary recipe,41.88
2020-01-16,Bakery,83.76,R4,0.5,Alternative recipe,41.88
2020-01-17,Bakery,73.37,R2,0.5,Primary recipe,36.685
2020-01-17,Bakery,73.37,R4,0.5,Alternative recipe,36.685
2020-01-18,Bakery,76.13,R2,0.5,Primary recipe,38.065
2020-01-18,Bakery,76.13,R4,0.5,Alternative recipe,38.065
2020-01-19,Bakery,89.02,R2,0.5,Primary recipe,44.51
2020-01-19,Bakery,89.02,R4,0.5,Alternative recipe,44.51
2020-01-20,Bakery,92.49,R2,0.5,Primary recipe,46.245
2020-01-20,Bakery,92.49,R4,0.5,Alternative recipe,46.245
2020-01-21,Bakery,78.46,R2,0.5,Primary recipe,39.23
2020-01-21,Bakery,78.46,R4,0.5,Alternative recipe,39.23
