date,recipe_id,recipe_name,flour_type,required_hours,recipe_tons,cost_index
2020-01-01,R2,80 Straight,Bakery,3.377083333333333,40.525,1.1
2020-01-02,R2,80 Straight,Bakery,3.6024999999999996,43.23,1.1
2020-01-03,R2,80 Straight,Bakery,2.8070833333333334,33.685,1.1
2020-01-04,R2,80 Straight,Bakery,2.6666666666666665,32.0,1.1
2020-01-05,R2,80 Straight,Bakery,3.4637500000000006,41.565000000000005,1.1
2020-01-06,R2,80 Straight,Bakery,3.438333333333334,41.260000000000005,1.1
2020-01-07,R2,80 Straight,Bakery,3.0925,37.11,1.1
2020-01-08,R2,80 Straight,Bakery,3.48,41.76,1.1
2020-01-09,R2,80 Straight,Bakery,3.3516666666666666,40.22,1.1
2020-01-10,R2,80 Straight,Bakery,3.1670833333333337,38.005,1.1
2020-01-11,R2,80 Straight,Bakery,2.56875,30.825,1.1
2020-01-12,R2,80 Straight,Bakery,3.5187500000000003,42.225,1.1
2020-01-13,R2,80 Straight,Bakery,3.500833333333333,42.01,1.1
2020-01-14,R2,80 Straight,Bakery,3.2279166666666668,38.735,1.1
2020-01-15,R2,80 Straight,Bakery,3.3233333333333337,39.88,1.1
2020-01-16,R2,80 Straight,Bakery,3.49,41.88,1.1
2020-01-17,R2,80 Straight,Bakery,3.0570833333333334,36.685,1.1
2020-01-18,R2,80 Straight,Bakery,3.172083333333333,38.065,1.1
2020-01-19,R2,80 Straight,Bakery,3.7091666666666665,44.51,1.1
2020-01-20,R2,80 Straight,Bakery,3.85375,46.245,1.1
2020-01-21,R2,80 Straight,Bakery,3.2691666666666666,39.23,1.1
2020-01-22,R2,80 Straight,Bakery,3.5170833333333333,42.205,1.1
2020-01-23,R2,80 Straight,Bakery,3.4804166666666667,41.765,1.1
2020-01-24,R2,80 Straight,Bakery,3.2191666666666667,38.63,1.1
2020-01-25,R2,80 Straight,Bakery,3.061666666666667,36.74,1.1
2020-01-26,R2,80 Straight,Bakery,3.6254166666666667,43.505,1.1
2020-01-27,R2,80 Straight,Bakery,3.475,41.7,1.1
2020-01-28,R2,80 Straight,Bakery,3.464166666666667,41.57,1.1
2020-01-29,R2,80 Straight,Bakery,3.3166666666666664,39.8,1.1
2020-01-30,R2,80 Straight,Bakery,3.3166666666666664,39.8,1.1
2020-01-31,R2,80 Straight,Bakery,3.1391666666666667,37.67,1.1
2020-02-01,R2,80 Straight,Bakery,2.984583333333333,35.815,1.1
2020-02-02,R2,80 Straight,Bakery,3.5220833333333332,42.265,1.1
2020-02-03,R2,80 Straight,Bakery,3.5233333333333334,42.28,1.1
2020-02-04,R2,80 Straight,Bakery,3.5554166666666664,42.665,1.1
2020-02-05,R2,80 Straight,Bakery,3.217916666666667,38.615,1.1
2020-02-06,R2,80 Straight,Bakery,3.3466666666666662,40.16,1.1
2020-02-07,R2,80 Straight,Bakery,3.080416666666667,36.965,1.1
2020-02-08,R2,80 Straight,Bakery,2.9595833333333332,35.515,1.1
2020-02-09,R2,80 Straight,Bakery,4.045833333333333,48.55,1.1
2020-02-10,R2,80 Straight,Bakery,3.5170833333333333,42.205,1.1
2020-02-11,R2,80 Straight,Bakery,3.879583333333333,46.555,1.1
2020-02-12,R2,80 Straight,Bakery,3.7516666666666665,45.019999999999996,1.1
2020-02-13,R2,80 Straight,Bakery,3.249166666666667,38.99,1.1
2020-02-14,R2,80 Straight,Bakery,2.8820833333333336,34.585,1.1
2020-02-15,R2,80 Straight,Bakery,3.13875,37.665,1.1
2020-02-16,R2,80 Straight,Bakery,3.705,44.46,1.1
2020-02-17,R2,80 Straight,Bakery,3.5475,42.57,1.1
2020-02-18,R2,80 Straight,Bakery,3.6254166666666667,43.505,1.1
2020-02-19,R2,80 Straight,Bakery,3.795,45.54,1.1
2020-02-20,R2,80 Straight,Bakery,3.71875,44.625,1.1
2020-02-21,R2,80 Straight,Bakery,3.2091666666666665,38.51,1.1
2020-02-22,R2,80 Straight,Bakery,3.0549999999999997,36.66,1.1
2020-02-23,R2,80 Straight,Bakery,3.245833333333333,38.949999999999996,1.1
2020-02-24,R2,80 Straight,Bakery,3.5175,42.21,1.1
2020-02-25,R2,80 Straight,Bakery,4.065,48.78,1.1
2020-02-26,R2,80 Straight,Bakery,3.6629166666666664,43.955,1.1
2020-02-27,R2,80 Straight,Bakery,3.5729166666666665,42.875,1.1
2020-02-28,R2,80 Straight,Bakery,3.24,38.88,1.1
2020-02-29,R2,80 Straight,Bakery,3.4341666666666666,41.21,1.1
2020-03-01,R2,80 Straight,Bakery,3.8808333333333334,46.57,1.1
2020-03-02,R2,80 Straight,Bakery,4.017916666666667,48.215,1.1
2020-03-03,R2,80 Straight,Bakery,3.8179166666666666,45.815,1.1
2020-03-04,R2,80 Straight,Bakery,3.831666666666667,45.980000000000004,1.1
2020-03-05,R2,80 Straight,Bakery,3.5083333333333333,42.1,1.1
2020-03-06,R2,80 Straight,Bakery,3.2975,39.57,1.1
2020-03-07,R2,80 Straight,Bakery,3.4308333333333336,41.17,1.1
2020-03-08,R2,80 Straight,Bakery,3.9204166666666667,47.045,1.1
2020-03-09,R2,80 Straight,Bakery,3.820833333333333,45.849999999999994,1.1
2020-03-10,R2,80 Straight,Bakery,3.69375,44.325,1.1
2020-03-11,R2,80 Straight,Bakery,4.234166666666667,50.81,1.1
2020-03-12,R2,80 Straight,Bakery,4.030833333333333,48.37,1.1
2020-03-13,R2,80 Straight,Bakery,3.763333333333333,45.16,1.1
2020-03-14,R2,80 Straight,Bakery,3.0795833333333333,36.955,1.1
2020-03-15,R2,80 Straight,Bakery,3.84,46.08,1.1
2020-03-16,R2,80 Straight,Bakery,3.796666666666667,45.56,1.1
2020-03-17,R2,80 Straight,Bakery,3.5229166666666667,42.275,1.1
2020-03-18,R2,80 Straight,Bakery,3.74375,44.925,1.1
2020-03-19,R2,80 Straight,Bakery,3.6004166666666664,43.205,1.1
2020-03-20,R2,80 Straight,Bakery,3.17125,38.055,1.1
2020-03-21,R2,80 Straight,Bakery,3.1679166666666667,38.015,1.1
2020-03-22,R2,80 Straight,Bakery,3.950416666666667,47.405,1.1
2020-03-23,R2,80 Straight,Bakery,4.087083333333333,49.045,1.1
2020-03-24,R2,80 Straight,Bakery,3.8387499999999997,46.065,1.1
2020-03-25,R2,80 Straight,Bakery,4.0112499999999995,48.135,1.1
2020-03-26,R2,80 Straight,Bakery,4.033333333333333,48.4,1.1
2020-03-27,R2,80 Straight,Bakery,3.2054166666666664,38.464999999999996,1.1
2020-03-28,R2,80 Straight,Bakery,3.20125,38.415,1.1
2020-03-29,R2,80 Straight,Bakery,4.04875,48.585,1.1
2020-03-30,R2,80 Straight,Bakery,3.7520833333333337,45.025000000000006,1.1
2020-03-31,R2,80 Straight,Bakery,3.7066666666666666,44.48,1.1
2020-04-01,R2,80 Straight,Bakery,4.000416666666666,48.004999999999995,1.1
2020-04-02,R2,80 Straight,Bakery,3.87625,46.515,1.1
2020-04-03,R2,80 Straight,Bakery,3.315,39.78,1.1
2020-04-04,R2,80 Straight,Bakery,3.23375,38.805,1.1
2020-04-05,R2,80 Straight,Bakery,3.8845833333333335,46.615,1.1
2020-04-06,R2,80 Straight,Bakery,4.0616666666666665,48.74,1.1
2020-04-07,R2,80 Straight,Bakery,3.734583333333333,44.815,1.1
2020-04-08,R2,80 Straight,Bakery,3.4104166666666664,40.925,1.1
2020-04-09,R2,80 Straight,Bakery,3.845416666666667,46.145,1.1
2020-04-10,R2,80 Straight,Bakery,3.3404166666666666,40.085,1.1
2020-04-11,R2,80 Straight,Bakery,3.3033333333333332,39.64,1.1
2020-04-12,R2,80 Straight,Bakery,4.01875,48.225,1.1
2020-04-13,R2,80 Straight,Bakery,3.5379166666666664,42.455,1.1
2020-04-14,R2,80 Straight,Bakery,3.6649999999999996,43.98,1.1
2020-04-15,R2,80 Straight,Bakery,3.7237500000000003,44.685,1.1
2020-04-16,R2,80 Straight,Bakery,3.9754166666666664,47.705,1.1
2020-04-17,R2,80 Straight,Bakery,3.3516666666666666,40.22,1.1
2020-04-18,R2,80 Straight,Bakery,3.297083333333333,39.565,1.1
2020-04-19,R2,80 Straight,Bakery,3.895,46.74,1.1
2020-04-20,R2,80 Straight,Bakery,3.9308333333333336,47.17,1.1
2020-04-21,R2,80 Straight,Bakery,3.5700000000000003,42.84,1.1
2020-04-22,R2,80 Straight,Bakery,3.6566666666666667,43.88,1.1
